Bulbasaur,Ivysaur,Venusaur
Charmander,Charmeleon,Charizard
Squirtle,Wartortle,Blastoise
Caterpie,Metapod,Butterfree
Weedle,Kakuna,Beedrill
Pidgey,Pidgeotto,Pidgeot
Rattata,Ratticate
Beldum,Metang,Metagross
Turtwig,Grotle,Torterra
Chimchar,Monferno,Infernape
Piplup,Prinplup,Empoleon
Starly,Staravia,Staraptor
Bidoof,Bibarel
Kricketot,Kricketune
Shinx,Luxio,Luxray
Cranidos,Rampardos
Shieldon,Bastiodon
Burmy,Wormadam (Grass)|Wormadam (Trash)|Wormadam (Sand)
Burmy,Mothim
Combee,Vespiqueen
Buizel,Floatzel
Cherubi,Cherrim
Shellos,Gastrodon
Drifloon,Drifblim
Buneary,Lopunny
Glameow,Purgugly
Stunky,Skuntank
Bronzor,Bronzong
Gible,Gabite,Garchomp
Riolu,Lucario
Hippopotas,Hippowdon
Skorupi,Drapion
Croagunk,Toxicroak
Finneon,Lumineon
Snover,Abomasnow
Snivy,Servine,Serperior
Tepig,Pignite,Emboar
Oshawott,Dewott,Samurott
Patrat,Watchog
Lillipup,Herdier,Stoutland
Purrloin,Liepard
Pansage,Simisage
Pansear,Simisear
Panpour,Simipour
Munna,Musharna
Pidove,Tranquil,Unfezant
Blitzle,Zebstrika
Roggenrola,Boldore,Gigalith
Woobat,Swoobat
Drilbur,Excadrill
Timburr,Gurdurr,Conkeldurr
Tympole,Palpitoad,Seismitoad
Sewaddle,Swadloon,Leavanny
Venipede,Whirlpede,Scolipede
Cottonee,Whimsicott
Petilil,Liligant
Sandile,Krokorok,Krookodile
Darumaka,Darmanitan
Dwebble,Crustle
Scraggy,Scrafty
Yamask,Cofagrigus
Tirtouga,Carracosta
Archen,Archeops
Trubbish,Garbodor
Zorua,Zoroak
Minccino,Cinccino
Gothita,Gothorita,Gothitelle
Solosis,Duosion,Reuniclus
Ducklett,Swanna
Vanillite,Vanillish,Vanilluxe
Deerling,Sawsbuck
Karrablast,Escavalier
Foongus,Amoonguss
Frillish,Jellicent
Joltik,Galvantula
Ferroseed,Ferrothorn
Klink,Klang,Klinklang
Tynamo,Eelektrik,Eelektross
Elgyem,Beheeyem
Litwick,Lampent,Chandelure
Axew,Fraxure,Haxorus
Cubchoo,Beartic
Shelmet,Accelgor
Mienfoo,Mienshao
Golett,Golurk
Pawniard,Bisharp
Rufflet,Braviary
Vullaby,Mandibuzz
Deino,Zweilous,Hydreigon
Larvesta,Volcarona
Chespin,Quilladin,Chesnaught
Fennekin,Braixen,Delphox
Froakie,Frogadier,Greninja
Bunnelby,Diggersby
Fletchling,Fletchinder,Talonflame
Scatterbug,Spewpa,Vivillon
Litleo,Pyroar
Flabébé,Floette,Florges
Skiddo,Gogoat
Pancham,Pangoro
Espurr,Meowstic
Honedge,Doublade,Aegislash (Shield Forme)|Aegislash (Blade Forme)
Spritzee,Aromatisse
Swirlix,Slurpuff
Inkay,Malamar
Binacle,Barbaracle
Skrelp,Dragalge
Clauncher,Clawitzer
Helioptile,Heliolisk
Tyrunt,Tyrantrum
Amaura,Aurorus
Goomy,Sliggoo,Goodra
Phantump,Trevenant
Pumpkaboo,Gourgeist
Bergmite,Avalugg
Noibat,Noivern
Rowlet,Dartrix,Decidueye
Litten,Torracat,Incineroar
Popplio,Brionne,Primarina
Pikipek,Trumbeak,Toucannon
Yungoos,Gumshoos
Grubbin,Charjabug,Vikavolt
Crabrawler,Crabominable
Cutiefly,Ribombee
Rockruff,Lycanroc (Day)|Lycanroc (Night)
Mareani,Toxapex
Mudbray,Mudsdale
Dewpider,Araquanid
Fomantis,Lurantis
Morelull,Shiinotic
Salandit,Salazzle
Stufful,Bewear
Bounsweet,Steenee,Tsareena
Wimpod,Golisopod
Sandygast,Palossand
Type: Null,Silvally
Jangmo-o,Hakamo-o,Kommo-o
